Original_Text,Formatted_Date,Generated_Full_Response,Extracted_Key_Response
queensland farmer uses drone to plant sunflower crop,29 December 2021,"29 December 2021 - queensland farmer uses drone to plant sunflower crop
29 December 2021 - queensland farmer uses drone to plant sunflower crop
A South East Queensland farmer is using drones to plant sunflower crops and other crops as a way of diversifying his operation, reducing labour costs and getting a better quality crop.
Queensland farmer uses drone to plant sunflower crop
29 December 2021 - queensland farmer uses drone to plant sunflower crop
A South East Queensland farmer is using drones to plant sunflower crops and other crops as a way of diversifying his operation, reducing labour costs and getting a better quality crop.
In the early hours of a dark winter’s morning a drone takes off from a farm in the South East corner of Queensland.
The drone has to fly over fields that are still damp from a recent rain shower. It has to navigate around trees, wires and a range of other obstacles before it reaches the first of a series of small green paddocks.
The drone hovers above the paddock, hovering at a height","

A South East Queensland farmer is using drones to plant sunflower crops and other crops as a way of diversifying his operation, reducing labour costs and getting a better quality crop.
Queensland farmer uses drone to plant sunflower crop

A South East Queensland farmer is using drones to plant sunflower crops and other crops as a way of diversifying his operation, reducing labour costs and getting a better quality crop.
In the early hours of a dark winter’s morning a drone takes off from a farm in the South East corner of Queensland.
The drone has to fly over fields that are still damp from a recent rain shower. It has to navigate around trees, wires and a range of other obstacles before it reaches the first of a series of small green paddocks.
The drone hovers above the paddock, hovering at a height"
sydney news south coast venues covid 19 alert,07 January 2021,"07 January 2021 - sydney news south coast venues covid 19 alert level 3 covid-19 cases south coast venues alert level 3 restrictions south coast venues level 3 restrictions
The NSW Government has announced that the south coast will be subject to alert level 3 restrictions until at least 11 January. The region is currently at a level 4 lockdown, with venues closing for three days.
The announcement follows the discovery of 12 new cases of COVID-19 on the South Coast.
The new restrictions will see residents barred from travelling between the Central Coast, Blue Mountains and Wollongong until at least 11 January.
Residents will be banned from visiting restaurants, cafes and pubs until at least 11 January.
Wedding receptions will also be prohibited, and the sale of alcohol will be restricted to takeaway and deliveries only.
Residents can leave their homes for medical care, exercise and essential work, as well as to attend essential work sites. They can also visit their primary school, and their child’s childcare or early childhood education and care centre.
Schools will"," level 3 covid-19 cases south coast venues alert level 3 restrictions south coast venues level 3 restrictions
The NSW Government has announced that the south coast will be subject to alert level 3 restrictions until at least 11 January. The region is currently at a level 4 lockdown, with venues closing for three days.
The announcement follows the discovery of 12 new cases of COVID-19 on the South Coast.
The new restrictions will see residents barred from travelling between the Central Coast, Blue Mountains and Wollongong until at least 11 January.
Residents will be banned from visiting restaurants, cafes and pubs until at least 11 January.
Wedding receptions will also be prohibited, and the sale of alcohol will be restricted to takeaway and deliveries only.
Residents can leave their homes for medical care, exercise and essential work, as well as to attend essential work sites. They can also visit their primary school, and their child’s childcare or early childhood education and care centre.
Schools will"
uruguay language institute backs edinson cavani over racism ban,02 January 2021,"02 January 2021 - uruguay language institute backs edinson cavani over racism ban in belgium
Edinson Cavani will be free to play for Paris Saint-Germain in the French Cup, after his 8-game ban for insulting a black opponent in Belgium was overturned. The ban was overturned by an appeals board. Cavani was banned for insulting the player who he said had used a ""racial slur"" against him during a Ligue 1 match between Lyon and PSG on Nov. 22. Cavani had been accused of making a racist remark to Marseille defender Bouna Sarr, who has been racially abused in the past. Sarr said he heard Cavani say, ""You monkey"" before the match, and claimed he had been taunted throughout the game by the striker. The PSG striker denied he made the remark and said that the words were ""an expression of a joke, an act of fun and friendship"". PSG, who had already taken the case to the Racial Discrimination and Racist Violence Committee, said they ""are very happy to"," in belgium
Edinson Cavani will be free to play for Paris Saint-Germain in the French Cup, after his 8-game ban for insulting a black opponent in Belgium was overturned. The ban was overturned by an appeals board. Cavani was banned for insulting the player who he said had used a ""racial slur"" against him during a Ligue 1 match between Lyon and PSG on Nov. 22. Cavani had been accused of making a racist remark to Marseille defender Bouna Sarr, who has been racially abused in the past. Sarr said he heard Cavani say, ""You monkey"" before the match, and claimed he had been taunted throughout the game by the striker. The PSG striker denied he made the remark and said that the words were ""an expression of a joke, an act of fun and friendship"". PSG, who had already taken the case to the Racial Discrimination and Racist Violence Committee, said they ""are very happy to"
defence minister peter dutton speaks to 7.30,17 August 2021,"17 August 2021 - defence minister peter dutton speaks to 7.30 after it's announced he will be standing down as defence minister.
17 August 2021 - defence minister peter dutton speaks to 7.30 after it's announced he will be standing down as defence minister.
17 August 2021 - defence minister peter dutton speaks to 7.30 after it's announced he will be standing down as defence minister.
17 August 2021 - defence minister peter dutton speaks to 7.30 after it's announced he will be standing down as defence minister.
7:30 - Defence Minister Peter Dutton speaks to 7.30 after it’s announced he will be standing down as Defence Minister. 17 August 2021
7:30 - Defence Minister Peter Dutton speaks to 7.30 after it’s announced he will be standing down as Defence Minister. 17 August 2021"," after it's announced he will be standing down as defence minister.
 after it's announced he will be standing down as defence minister.
 after it's announced he will be standing down as defence minister.
 after it's announced he will be standing down as defence minister.
7:30 - Defence Minister Peter Dutton speaks to 7.30 after it’s announced he will be standing down as Defence Minister. 17 August 2021
7:30 - Defence Minister Peter Dutton speaks to 7.30 after it’s announced he will be standing down as Defence Minister. 17 August 2021"
lucindale grass fire damage sa mount scott conservation,12 January 2021,"12 January 2021 - lucindale grass fire damage sa mount scott conservation park - YouTube
12 January 2021 - lucindale grass fire damage sa mount scott conservation park - YouTube
Mount Scott Conservation Park is a conservation park in the Australian state of South Australia located on the Eyre Peninsula about 30 kilometres (19 mi) west of the town of Minlaton.
The park was proclaimed in 1987 and covers an area of 2,120 hectares (5,200 acres). It is located on the edge of the Eyre Peninsula region and covers a variety of landforms. It is known for its large granite outcrops. The park also protects a variety of flora and fauna including endangered populations of several species.
The land for the park was purchased by the then Department of Environment and Heritage and it was proclaimed in 1987. The purchase was funded by the Commonwealth Government under the National Parks and Wildlife Reserve Act 1972 and the State Government under the Conservation Parks Act 1966. In 2011, the park was expanded"," park - YouTube
 park - YouTube
Mount Scott Conservation Park is a conservation park in the Australian state of South Australia located on the Eyre Peninsula about 30 kilometres (19 mi) west of the town of Minlaton.
The park was proclaimed in 1987 and covers an area of 2,120 hectares (5,200 acres). It is located on the edge of the Eyre Peninsula region and covers a variety of landforms. It is known for its large granite outcrops. The park also protects a variety of flora and fauna including endangered populations of several species.
The land for the park was purchased by the then Department of Environment and Heritage and it was proclaimed in 1987. The purchase was funded by the Commonwealth Government under the National Parks and Wildlife Reserve Act 1972 and the State Government under the Conservation Parks Act 1966. In 2011, the park was expanded"
andrew abdo summer grandstand,31 January 2021,"31 January 2021 - andrew abdo summer grandstand
The first summer grandstand at Andrew Abdo's farm will be ready for the first of the summer's competitions on the 28th of February.
In this episode we go to the farm to talk with Andrew about the first summer grandstand and other recent developments. We hear about some of the new developments that are now taking place and look forward to the summer events. We also talk about a few new developments on the farm and Andrew's new grandstand plans.","
The first summer grandstand at Andrew Abdo's farm will be ready for the first of the summer's competitions on the 28th of February.
In this episode we go to the farm to talk with Andrew about the first summer grandstand and other recent developments. We hear about some of the new developments that are now taking place and look forward to the summer events. We also talk about a few new developments on the farm and Andrew's new grandstand plans."
former westpac boss learns hard leadership lessons,04 May 2021,"04 May 2021 - former westpac boss learns hard leadership lessons from covid-19
Westpac Banking Group, Australia’s oldest bank, announced in April 2021 that it was to pay a record A$1.3 billion fine to Australian and New Zealand regulators for breaches of anti-money laundering and terrorism financing laws.
This follows the release of a report by the Royal Commission into Misconduct in the Banking, Superannuation and Financial Services Industry that uncovered evidence of serious and systemic misconduct in the Australian banking sector, and of the banking regulator’s apparent failure to do anything about it.
The Royal Commission into Misconduct in the Banking, Superannuation and Financial Services Industry was established in December 2017 by the Australian Government. Its Terms of Reference include an inquiry into whether misconduct in the banking, financial services and superannuation industries occurred in relation to consumer financial products and services, and whether that misconduct was systemic in the relevant industry or industries.
Westpac’s fine was the first issued by the Australian regulator, the Australian Transaction Reports and Analysis Centre (AU"," from covid-19
Westpac Banking Group, Australia’s oldest bank, announced in April 2021 that it was to pay a record A$1.3 billion fine to Australian and New Zealand regulators for breaches of anti-money laundering and terrorism financing laws.
This follows the release of a report by the Royal Commission into Misconduct in the Banking, Superannuation and Financial Services Industry that uncovered evidence of serious and systemic misconduct in the Australian banking sector, and of the banking regulator’s apparent failure to do anything about it.
The Royal Commission into Misconduct in the Banking, Superannuation and Financial Services Industry was established in December 2017 by the Australian Government. Its Terms of Reference include an inquiry into whether misconduct in the banking, financial services and superannuation industries occurred in relation to consumer financial products and services, and whether that misconduct was systemic in the relevant industry or industries.
Westpac’s fine was the first issued by the Australian regulator, the Australian Transaction Reports and Analysis Centre (AU"
national mp darren chester speaks to 7.30,25 October 2021,"25 October 2021 - national mp darren chester speaks to 7.30 about the 2021 federal election
25 October 2021 - the federal election 2021 was a historic night in the making - 2021 federal election - national mp darren chester speaks to 7.30 about the 2021 federal election
25 October 2021 - the federal election 2021 was a historic night in the making - 2021 federal election - national mp darren chester speaks to 7.30 about the 2021 federal election
25 October 2021 - the federal election 2021 was a historic night in the making - 2021 federal election - national mp darren chester speaks to 7.30 about the 2021 federal election
25 October 2021 - the federal election 2021 was a historic night in the making - 2021 federal election - national mp darren chester speaks to 7.30 about the 2021 federal election
25 October 2021 - the federal"," about the 2021 federal election
25 October 2021 - the federal election 2021 was a historic night in the making - 2021 federal election - national mp darren chester speaks to 7.30 about the 2021 federal election
25 October 2021 - the federal election 2021 was a historic night in the making - 2021 federal election - national mp darren chester speaks to 7.30 about the 2021 federal election
25 October 2021 - the federal election 2021 was a historic night in the making - 2021 federal election - national mp darren chester speaks to 7.30 about the 2021 federal election
25 October 2021 - the federal election 2021 was a historic night in the making - 2021 federal election - national mp darren chester speaks to 7.30 about the 2021 federal election
25 October 2021 - the federal"
a lookback at how sydneys lockdown began,11 October 2021,"11 October 2021 - a lookback at how sydneys lockdown began
This week marks one year since the most recent lockdown in NSW, the one that ended with the lockdown of Sydney and many other regional areas of the state. It also marks a year since the lockdown began.
For those that may not know, the lockdown started when a COVID-19 case in the Sydney suburb of Quakers Hill, was declared a cluster by NSW Health on 11 October 2020. The cluster was believed to have been contracted through a Sydney restaurant.
From that point on, the Premier of NSW, Gladys Berejiklian, announced a “hard lockdown” for Sydney, Wollongong, Central Coast and Blue Mountains, which came into effect at 1pm on Saturday 10 October. This lockdown was supposed to end on 26 October.
However, this lockdown was extended three times. First, it was extended until 6 November. This was then extended until 18 November. The final extension was until 1 December, which is still the current lockdown","
This week marks one year since the most recent lockdown in NSW, the one that ended with the lockdown of Sydney and many other regional areas of the state. It also marks a year since the lockdown began.
For those that may not know, the lockdown started when a COVID-19 case in the Sydney suburb of Quakers Hill, was declared a cluster by NSW Health on 11 October 2020. The cluster was believed to have been contracted through a Sydney restaurant.
From that point on, the Premier of NSW, Gladys Berejiklian, announced a “hard lockdown” for Sydney, Wollongong, Central Coast and Blue Mountains, which came into effect at 1pm on Saturday 10 October. This lockdown was supposed to end on 26 October.
However, this lockdown was extended three times. First, it was extended until 6 November. This was then extended until 18 November. The final extension was until 1 December, which is still the current lockdown"
fight broke out after stewart copped elbow to head from james,22 November 2021,"22 November 2021 - fight broke out after stewart copped elbow to head from james - was not a penalty.
23 November 2021 - riley did not look like a 21 yr old, he's got some skills. very good game.
22 November 2021 - no penalties given.
22 November 2021 - troy davis is a big unit, he could be a weapon for them.
23 November 2021 - 5 points on 2 tackles in 2 games.
24 November 2021 - jackson should be getting 1st team reps.
24 November 2021 - aaron woods is in there playing good footy.
23 November 2021 - the lineout is working.
23 November 2021 - not sure how that is a penalty. 3 players running at him and they have the ball and he is in space.
22 November 2021 - it was a good play by gilbert to throw the dummy.
22 November 2021 - good game by the forwards.
22 November 2021 -"," - was not a penalty.
23 November 2021 - riley did not look like a 21 yr old, he's got some skills. very good game.
22 November 2021 - no penalties given.
22 November 2021 - troy davis is a big unit, he could be a weapon for them.
23 November 2021 - 5 points on 2 tackles in 2 games.
24 November 2021 - jackson should be getting 1st team reps.
24 November 2021 - aaron woods is in there playing good footy.
23 November 2021 - the lineout is working.
23 November 2021 - not sure how that is a penalty. 3 players running at him and they have the ball and he is in space.
22 November 2021 - it was a good play by gilbert to throw the dummy.
22 November 2021 - good game by the forwards.
22 November 2021 -"
helensburgh residents concerned about new spoil site plans,11 March 2021,"11 March 2021 - helensburgh residents concerned about new spoil site plans
The Council is working with Scottish Water to develop plans for a new waste water treatment works and water reservoir on the Helensburgh waterfront, which could include a spoil site in the River Clyde.
The current treatment works, at Old Kilpatrick, is now approaching the end of its lifespan and the proposed site would replace the current facilities, which are expected to be decommissioned in 2025.
A new water reservoir is also proposed on the waterfront, with the existing water reservoir at Dumbarton Road being decommissioned.
In February 2020, the Council submitted plans for the proposed new water reservoir at Dumbarton Road and the Council has now agreed that it is appropriate to begin a consultation with the local community about the waste water treatment works proposals.  A consultation has also been arranged for the new water reservoir at Dumbarton Road.
Councillor Alan MacKinnon, convener of the Infrastructure, Economy and Development Policy Committee said: “We are proposing to create a","
The Council is working with Scottish Water to develop plans for a new waste water treatment works and water reservoir on the Helensburgh waterfront, which could include a spoil site in the River Clyde.
The current treatment works, at Old Kilpatrick, is now approaching the end of its lifespan and the proposed site would replace the current facilities, which are expected to be decommissioned in 2025.
A new water reservoir is also proposed on the waterfront, with the existing water reservoir at Dumbarton Road being decommissioned.
In February 2020, the Council submitted plans for the proposed new water reservoir at Dumbarton Road and the Council has now agreed that it is appropriate to begin a consultation with the local community about the waste water treatment works proposals.  A consultation has also been arranged for the new water reservoir at Dumbarton Road.
Councillor Alan MacKinnon, convener of the Infrastructure, Economy and Development Policy Committee said: “We are proposing to create a"
wild weather southwest victoria,09 June 2021,"09 June 2021 - wild weather southwest victoria, and some rain in other parts of australia.
the first week of june brought a lot of rain, especially in southwestern victoria. in the 7 days from 25-31 may, there was rain in most of australia, and a couple of places got over 100 mm of rain. the best places for rain were southern victoria, the far northwest of the continent, central queensland and far northern new south wales. for the whole month, the eastern half of australia was wetter than the western half.
temperatures ranged from warm in western australia and northern new south wales, to cold in eastern victoria and south australia.
the next 7 days of weather will be cool and cloudy in eastern australia and warm in western australia. for the whole month, there was more sunshine in the west and more clouds in the east.
southern victoria 30/29/10 cloudy 3/2/0
melbourne 25/18/6 sunny",", and some rain in other parts of australia.
the first week of june brought a lot of rain, especially in southwestern victoria. in the 7 days from 25-31 may, there was rain in most of australia, and a couple of places got over 100 mm of rain. the best places for rain were southern victoria, the far northwest of the continent, central queensland and far northern new south wales. for the whole month, the eastern half of australia was wetter than the western half.
temperatures ranged from warm in western australia and northern new south wales, to cold in eastern victoria and south australia.
the next 7 days of weather will be cool and cloudy in eastern australia and warm in western australia. for the whole month, there was more sunshine in the west and more clouds in the east.
southern victoria 30/29/10 cloudy 3/2/0
melbourne 25/18/6 sunny"
scott morrison confirms tga has approved pfizer for australians,25 January 2021,"25 January 2021 - scott morrison confirms tga has approved pfizer for australians
Prime Minister Scott Morrison has confirmed Australia’s Therapeutic Goods Administration (TGA) has approved the Pfizer/BioNTech Covid-19 vaccine for use in Australia.
Mr Morrison told the Australian Broadcasting Corporation (ABC) the Pfizer vaccine had received approval for use in the country, while saying he expected the AstraZeneca jab to be given the green light soon.
He said he had approved the vaccine because it had “clearly” been shown to be safe, noting there was no evidence of safety concerns with the vaccine and it had undergone rigorous testing.
He added that the vaccine had a high level of efficacy and was being used in many countries around the world.
Mr Morrison also announced that the Government was considering using the vaccine to immunise Australians before allowing them to return home.
“The government is now considering, and we will be providing the details as soon as we can, a process of how we might offer the vaccine to Australians, to the Australian public, in order to help facilitate their return","
Prime Minister Scott Morrison has confirmed Australia’s Therapeutic Goods Administration (TGA) has approved the Pfizer/BioNTech Covid-19 vaccine for use in Australia.
Mr Morrison told the Australian Broadcasting Corporation (ABC) the Pfizer vaccine had received approval for use in the country, while saying he expected the AstraZeneca jab to be given the green light soon.
He said he had approved the vaccine because it had “clearly” been shown to be safe, noting there was no evidence of safety concerns with the vaccine and it had undergone rigorous testing.
He added that the vaccine had a high level of efficacy and was being used in many countries around the world.
Mr Morrison also announced that the Government was considering using the vaccine to immunise Australians before allowing them to return home.
“The government is now considering, and we will be providing the details as soon as we can, a process of how we might offer the vaccine to Australians, to the Australian public, in order to help facilitate their return"
denmark norway iceland suspend astrazeneca covid shots vaccine,12 March 2021,"12 March 2021 - denmark norway iceland suspend astrazeneca covid shots vaccine
Denmark and Norway suspend use of AstraZeneca shots
A vaccine made by AstraZeneca Plc is seen at the city hall in Copenhagen, Denmark, March 11, 2021. Reuters
Denmark and Norway have decided to suspend the use of the AstraZeneca vaccine against Covid-19 after a 30-year-old Norwegian woman died after contracting the disease following her inoculation.
Norway’s health authority, FHI, on Thursday said the woman was hospitalized on March 3 with symptoms of an acute heart infection and died later the same day.
Norway’s health director, Camilla Stoltenberg, said the woman had a known heart condition.
“This is an absolutely horrible story,” Stoltenberg told a news conference. “We have not found anything in the vaccine that causes this. We will do everything we can to find the cause.”
On Friday, Denmark’s health agency said a 60-year-old woman who had received an Astra","
Denmark and Norway suspend use of AstraZeneca shots
A vaccine made by AstraZeneca Plc is seen at the city hall in Copenhagen, Denmark, March 11, 2021. Reuters
Denmark and Norway have decided to suspend the use of the AstraZeneca vaccine against Covid-19 after a 30-year-old Norwegian woman died after contracting the disease following her inoculation.
Norway’s health authority, FHI, on Thursday said the woman was hospitalized on March 3 with symptoms of an acute heart infection and died later the same day.
Norway’s health director, Camilla Stoltenberg, said the woman had a known heart condition.
“This is an absolutely horrible story,” Stoltenberg told a news conference. “We have not found anything in the vaccine that causes this. We will do everything we can to find the cause.”
On Friday, Denmark’s health agency said a 60-year-old woman who had received an Astra"
denmark reintroduces restrictions in response to,21 December 2021,"21 December 2021 - denmark reintroduces restrictions in response to rising covid-19 cases
As a consequence of the recent increase in the number of infections, the Danish government is taking measures to contain the outbreak of COVID-19. The measures are expected to come into force on Saturday 18 December 2021 and will remain in force until 1 January 2022, at which time a decision will be made on whether to prolong them. 
The Danish authorities have announced that there will be a national lockdown from 18 December 2021 until 1 January 2022. Under the new rules, all non-essential activities are suspended, including the operation of all restaurants, cafés and bars. Other businesses must also close. These include hairdressers, beauty salons and gyms. Non-essential shops must also close, but there is no blanket prohibition on the sale of food products. A special permit must be applied for if food products are sold at retail.
Schools, kindergartens and colleges will be closed, except for"," rising covid-19 cases
As a consequence of the recent increase in the number of infections, the Danish government is taking measures to contain the outbreak of COVID-19. The measures are expected to come into force on Saturday 18 December 2021 and will remain in force until 1 January 2022, at which time a decision will be made on whether to prolong them. 
The Danish authorities have announced that there will be a national lockdown from 18 December 2021 until 1 January 2022. Under the new rules, all non-essential activities are suspended, including the operation of all restaurants, cafés and bars. Other businesses must also close. These include hairdressers, beauty salons and gyms. Non-essential shops must also close, but there is no blanket prohibition on the sale of food products. A special permit must be applied for if food products are sold at retail.
Schools, kindergartens and colleges will be closed, except for"
international flight crew returning from overseas,29 November 2021,"29 November 2021 - international flight crew returning from overseas may need to complete a quarantine-free stay at an alternative accommodation site, as per state and territory requirements.
The government and health departments are continuously assessing the situation and have implemented a number of changes to protect the health and safety of passengers, crew and our communities. You should monitor government and health department websites for updates, and keep your travel documents up to date with your travel insurance provider.
If you do not have a place to quarantine, and you are not able to make alternative arrangements to quarantine at your nominated accommodation, you will be provided with a list of suitable hotels in your state or territory.
If you can’t travel
If you have been required to stay in a hotel for the duration of your quarantine and your flight has been cancelled, we will move you to the next available flight.
You will need to check with your state or territory health department to ensure that your new flight departure time is suitable to complete your quarantine requirements.
To book a flight change or transfer, please complete a flight change request"," may need to complete a quarantine-free stay at an alternative accommodation site, as per state and territory requirements.
The government and health departments are continuously assessing the situation and have implemented a number of changes to protect the health and safety of passengers, crew and our communities. You should monitor government and health department websites for updates, and keep your travel documents up to date with your travel insurance provider.
If you do not have a place to quarantine, and you are not able to make alternative arrangements to quarantine at your nominated accommodation, you will be provided with a list of suitable hotels in your state or territory.
If you can’t travel
If you have been required to stay in a hotel for the duration of your quarantine and your flight has been cancelled, we will move you to the next available flight.
You will need to check with your state or territory health department to ensure that your new flight departure time is suitable to complete your quarantine requirements.
To book a flight change or transfer, please complete a flight change request"
nsw records 864 new cases of covid 19 and 15 deaths,01 October 2021,"01 October 2021 - nsw records 864 new cases of covid 19 and 15 deaths
Today’s numbers of 864 cases and 15 deaths in NSW will come as little comfort to those in a hospital intensive care unit.
NSW Health Minister Brad Hazzard has warned the current figures don’t reflect the extent of the outbreak.
There are now 1042 covid patients in hospital, 202 of those in intensive care, and 94 in ICU ventilated.
The numbers come just hours after NSW recorded 1017 new cases of covid and 13 deaths, but the state’s testing capacity has been ramped up.
There will be more than 1000 testing sites open from 9am today, the highest number in NSW’s history.
Health Minister Brad Hazzard says they need to work out why the numbers aren’t in line with the figures that were reported yesterday.
The state’s testing capacity has been ramped up and 1099 testing sites will be open.
The latest modelling from the government predicts that up to 75 per cent of the population in NSW","
Today’s numbers of 864 cases and 15 deaths in NSW will come as little comfort to those in a hospital intensive care unit.
NSW Health Minister Brad Hazzard has warned the current figures don’t reflect the extent of the outbreak.
There are now 1042 covid patients in hospital, 202 of those in intensive care, and 94 in ICU ventilated.
The numbers come just hours after NSW recorded 1017 new cases of covid and 13 deaths, but the state’s testing capacity has been ramped up.
There will be more than 1000 testing sites open from 9am today, the highest number in NSW’s history.
Health Minister Brad Hazzard says they need to work out why the numbers aren’t in line with the figures that were reported yesterday.
The state’s testing capacity has been ramped up and 1099 testing sites will be open.
The latest modelling from the government predicts that up to 75 per cent of the population in NSW"
five test positive to coronavirus in nt quarantine,05 January 2021,"05 January 2021 - five test positive to coronavirus in nt quarantine
New figures released this morning by the National Testing Centre reveal five new positive cases of Covid-19 in quarantine.
A further five tests returned negative, with 29 tests still pending.
NT News understands the new cases are a mixture of returned travellers, interstate travellers, and people who have been in the community since the 23rd December.
All those in quarantine are currently asymptomatic, with none showing any symptoms.
Authorities have been in contact with the individuals and are working with the relevant health agencies.
Anyone in close contact with them is being tested and required to self-isolate and self-quarantine.
Meanwhile, another 21 tests returned negative.
A further five tests were still pending.
There are now 26 active cases of Covid-19 across the Territory.","
New figures released this morning by the National Testing Centre reveal five new positive cases of Covid-19 in quarantine.
A further five tests returned negative, with 29 tests still pending.
NT News understands the new cases are a mixture of returned travellers, interstate travellers, and people who have been in the community since the 23rd December.
All those in quarantine are currently asymptomatic, with none showing any symptoms.
Authorities have been in contact with the individuals and are working with the relevant health agencies.
Anyone in close contact with them is being tested and required to self-isolate and self-quarantine.
Meanwhile, another 21 tests returned negative.
A further five tests were still pending.
There are now 26 active cases of Covid-19 across the Territory."
epidemiologist mary louise mclaws support mandating masks sydney,02 January 2021,"02 January 2021 - epidemiologist mary louise mclaws support mandating masks sydney
Epidemiologist Dr Mary-Louise McLaws says she supports mandating face masks in Sydney, after health authorities announced a record 238 new cases of COVID-19 on Saturday. The NSW Health Department says three more cases were confirmed in hotel quarantine and the total number of infections associated with the Christmas Day super-spreader cluster stands at 42.
“Sydney’s COVID-19 crisis is not a matter of if it spreads, but when and how it spreads,” said the epidemiologist from UNSW Medicine, whose research includes developing an app to track infectious diseases.
“This is an urgent situation that requires urgent action. I support the decision to mandate masks and I strongly urge anyone who is unwell, has even a mild cold, or a cough, to stay home and not leave the house.
“Not only is this the right thing to do to protect those who are most vulnerable to infection and to protect healthcare workers, it will also slow the spread of the virus to minimise the impact","
Epidemiologist Dr Mary-Louise McLaws says she supports mandating face masks in Sydney, after health authorities announced a record 238 new cases of COVID-19 on Saturday. The NSW Health Department says three more cases were confirmed in hotel quarantine and the total number of infections associated with the Christmas Day super-spreader cluster stands at 42.
“Sydney’s COVID-19 crisis is not a matter of if it spreads, but when and how it spreads,” said the epidemiologist from UNSW Medicine, whose research includes developing an app to track infectious diseases.
“This is an urgent situation that requires urgent action. I support the decision to mandate masks and I strongly urge anyone who is unwell, has even a mild cold, or a cough, to stay home and not leave the house.
“Not only is this the right thing to do to protect those who are most vulnerable to infection and to protect healthcare workers, it will also slow the spread of the virus to minimise the impact"
australia passes magnitsky style laws human rights abusers,02 December 2021,"02 December 2021 - australia passes magnitsky style laws human rights abusers are banned from the country
02 December 2021 - australia passes magnitsky style laws human rights abusers are banned from the country
Australia has become the first western nation to pass Magnitsky style laws. The law now allows the Australian government to freeze assets, ban entry and place visa conditions on people who are implicated in the torture, arbitrary detention or abuse of human rights. Foreign Minister Marise Payne announced the legislation at a press conference in Washington DC on Thursday. She said the law will be used to target people responsible for the persecution of Hong Kongers and Chinese Uighur Muslims. “Our new Magnitsky law will not only deter these abuses and protect our national interest, but also signal our commitment to supporting those most in need of protection,” said Payne. “We have passed this law with a clear focus on deterring abuses and holding perpetrators accountable.” The legislation was passed on Tuesday in Australia’s lower house and is now before the upper house, where it is expected to"," are banned from the country
 are banned from the country
Australia has become the first western nation to pass Magnitsky style laws. The law now allows the Australian government to freeze assets, ban entry and place visa conditions on people who are implicated in the torture, arbitrary detention or abuse of human rights. Foreign Minister Marise Payne announced the legislation at a press conference in Washington DC on Thursday. She said the law will be used to target people responsible for the persecution of Hong Kongers and Chinese Uighur Muslims. “Our new Magnitsky law will not only deter these abuses and protect our national interest, but also signal our commitment to supporting those most in need of protection,” said Payne. “We have passed this law with a clear focus on deterring abuses and holding perpetrators accountable.” The legislation was passed on Tuesday in Australia’s lower house and is now before the upper house, where it is expected to"
police release cctv of vehicle believed involved in shooting,05 May 2021,"05 May 2021 - police release cctv of vehicle believed involved in shooting incident at kathmandu
Kathmandu: Nepal Police has released CCTV footage of the vehicle they believe was involved in a shooting incident at Kathmandu Metropolitan City, Kathmandu, on April 24.
On Sunday, the police arrested the owner of the car, Rabin Tamang, from the Gajur area of Gorkha District.
The owner of the car was also arrested in connection with the murder of a woman in Kathmandu's Bhotahiti area in April."," incident at kathmandu
Kathmandu: Nepal Police has released CCTV footage of the vehicle they believe was involved in a shooting incident at Kathmandu Metropolitan City, Kathmandu, on April 24.
On Sunday, the police arrested the owner of the car, Rabin Tamang, from the Gajur area of Gorkha District.
The owner of the car was also arrested in connection with the murder of a woman in Kathmandu's Bhotahiti area in April."
residents celebrate flows into storm king dam stanthorpe,22 March 2021,"22 March 2021 - residents celebrate flows into storm king dam stanthorpe. The dam at Stanthorpe has been in operation for many years. Stanthorpe residents are celebrating a good catch for the week end, while the flow rate is maintained at a very good 1,500 megalitres a day. This means more water in the Dam which is a blessing for the community.
Stanthorpe residents are celebrating a good catch for the week end, while the flow rate is maintained at a very good 1,500 megalitres a day. This means more water in the Dam which is a blessing for the community.",". The dam at Stanthorpe has been in operation for many years. Stanthorpe residents are celebrating a good catch for the week end, while the flow rate is maintained at a very good 1,500 megalitres a day. This means more water in the Dam which is a blessing for the community.
Stanthorpe residents are celebrating a good catch for the week end, while the flow rate is maintained at a very good 1,500 megalitres a day. This means more water in the Dam which is a blessing for the community."
